Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE
4c67e896-0c5b-7160-e862-c4b44c469476,1995-05-12,,999-82-6988,S99940828,X36994861X,Mr.,Mose244,Bahringer146,,,,black,nonhispanic,M,Montague  Massachusetts  US,505 Wolff Ferry,Holden,Massachusetts,Worcester County,,42.32404240590627,-71.89553231123902,80082.73,3135.47
f8a6db16-d485-1c4a-2c55-5163b0a00804,2000-07-25,,999-59-8215,S99967613,X79370737X,Ms.,Lauran65,Prohaska837,,,,white,nonhispanic,F,Cambridge  Massachusetts  US,959 Daniel Green Suite 46,Boston,Massachusetts,Suffolk County,02120,42.383232535735466,-71.03066449776502,65699.46,5704.51
bd967004-062e-dabd-faa8-a84ac68f495d,2018-01-02,,999-33-3018,,,,Thaddeus38,Yost751,,,,asian,nonhispanic,M,Seoul  Seoul  KR,1091 McCullough Glen,Somerville,Massachusetts,Middlesex County,02140,42.3527937117525,-71.12508211220116,10290.0,1733.1799999999998
616f034c-c7c6-ef7c-3d16-1d8393286921,1974-09-30,,999-61-6795,S99962869,X24964610X,Mr.,Erich201,Beier427,,,M,white,nonhispanic,M,Canton  Massachusetts  US,1024 Padberg Pathway,Reading,Massachusetts,Middlesex County,,42.49604203737404,-71.12947857848059,954654.52,3079.68
babb988b-8aa6-4536-c9a1-35edeade1cd4,2003-10-08,2011-06-19,999-30-8863,,,,Terrence276,Nienow652,,,,white,nonhispanic,M,Lynn  Massachusetts  US,398 Bode Mall,Lawrence,Massachusetts,Essex County,01843,42.707795852359375,-71.20519745554851,196121.63,1613.21
60d0c83d-94d2-6f00-727b-35a49cc91148,1999-02-23,,999-46-4862,S99941424,X66845786X,Ms.,Ira784,Kozey370,,,,white,nonhispanic,F,Dedham  Massachusetts  US,537 Sauer Stravenue Unit 79,Belmont,Massachusetts,Middlesex County,,42.38083645973004,-71.14003492526506,564849.47,4636.239999999999
22f52bb0-6f88-aacf-aee1-e461b1b85718,1940-10-02,,999-37-9077,S99947503,X9014427X,Mrs.,Kristine579,Marvin195,,Wiza601,M,white,nonhispanic,F,North Reading  Massachusetts  US,687 Franecki Center,Southborough,Massachusetts,Worcester County,,42.3033826363587,-71.50781435013155,1274483.9,60534.09999999999
dca51cd3-553b-5ba4-3f54-e62b1d09103d,2003-10-08,,999-95-9208,S99968443,,,Dannie881,Kihn564,,,,white,nonhispanic,M,Lynn  Massachusetts  US,809 Mosciski Row Suite 97,Lawrence,Massachusetts,Essex County,01841,42.73996916296722,-71.20813381237025,379310.73,2754.7499999999995
bf01067e-a2bc-9997-dc82-4afe4e7b3388,1959-06-20,,999-90-2054,S99960852,X12513262X,Mr.,Salvador46,Veum823,,,S,black,nonhispanic,M,Boston  Massachusetts  US,980 Green Lock,Somerville,Massachusetts,Middlesex County,02155,42.42190947652509,-71.13153379942115,1270899.86,3940.4399999999996
5a725888-706a-2b64-d242-cfb6c3c49894,2003-06-22,,999-19-7632,S99942135,,,Kai187,Witting912,,,,white,nonhispanic,F,Boston  Massachusetts  US,986 Christiansen Skyway Suite 91,Acton,Massachusetts,Middlesex County,,42.46004483608499,-71.45852617285679,366688.43,3098.9199999999996
a4ea747d-f43c-2099-f7db-d160b7c27013,1999-03-06,,999-61-4151,S99963104,X86435657X,Mr.,Donovan745,Schowalter414,,,,asian,nonhispanic,M,Ho Chi Minh City  Gia Định  VN,622 Quigley Bay Apt 80,Weymouth,Massachusetts,Norfolk County,,42.217592778075705,-70.9538016947243,4838.12,0.0
e7ffe1e2-cb2d-5af6-f058-0afae430113b,1946-01-12,,999-70-8880,S99933855,X64224019X,Ms.,Manuela585,Pizarro791,,,S,asian,hispanic,F,Buenos Aires  Ciudad de Buenos Aires  AR,349 Jacobs Manor Unit 58,Boston,Massachusetts,Suffolk County,02132,42.348289198726704,-71.08077254502865,275684.89,17180.23
71723840-42ec-2ec0-d328-848464c2d393,1947-03-10,1998-09-14,999-63-8374,S99916614,X37431331X,Mrs.,Carolyn322,Hartmann983,,Feil794,M,white,nonhispanic,F,Bolton  Massachusetts  US,636 Konopelski Corner Suite 32,North Attleborough,Massachusetts,Bristol County,,42.000839689445435,-71.28756327102799,1146369.78,6757.459999999999
458df2f0-75b5-0f0a-aa43-c1c633f8bdc2,1976-02-17,,999-54-1065,S99956296,X23596332X,Mr.,Marvin195,Schinner682,,,M,white,nonhispanic,M,Fall River  Massachusetts  US,605 Mills Quay Apt 63,Ashland,Massachusetts,Middlesex County,,42.25612327991874,-71.4298640045669,143571.83000000002,9706.409999999998
